Company Name,Industry,Symbol,Series,ISIN Code,code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,13
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,10217
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,25
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,3563
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,15083
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,6066
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,8110
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,1270
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,157
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,236
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,19913
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,5900
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,16669
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,317
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,16675
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,305
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,4668
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,404
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,383
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,526
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,10604
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,2181
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,547
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,10794
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,685
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,694
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,20374
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,15141
DLF Ltd.,Realty,DLF,EQ,INE271C01023,14732
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,772
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,10940
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,881
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,910
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,4717
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,10099
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,1232
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,7229
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,1333
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,467
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,9819
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,1348
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,1363
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,2303
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,1394
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,4963
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,21770
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,18652
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,1660
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,1624
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,13611
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,5258
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,13751
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,1594
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,11195
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,11723
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,6733
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,1922
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,17818
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,11483
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,9480
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,2031
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,4067
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,10999
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,23650
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,11630
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,17963
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,2475
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,24184
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,2664
